House	Street	City
36	1	PWR
873	67	PWR
797	79	ISB
485	40	ISB
5	54	LHR
321	59	PWR
523	51	Other
621	95	ISB
443	78	Other
449	71	Other
147	79	Other
723	19	ISB
118	51	ISB
602	41	Other
602	69	PWR
109	38	PWR
596	55	Other
919	44	Other
402	66	PWR
913	51	ISB
720	63	PWR
659	31	Other
313	43	ISB
616	2	Other
304	88	ISB
157	20	PWR
988	40	ISB
422	80	ISB
63	50	Other
12	93	Other
272	18	ISB
268	33	ISB
997	66	PWR
199	82	Other
501	63	ISB
789	25	LHR
188	22	ISB
457	52	PWR
143	16	Other
509	81	LHR
884	32	LHR
607	90	Other
653	2	Other
684	99	PWR
41	34	Other
729	72	PWR
452	52	PWR
986	17	Other
416	5	LHR
647	8	ISB
383	50	Other
383	39	PWR
959	39	PWR
377	3	PWR
90	22	Other
766	51	Other
949	78	ISB
955	33	LHR
357	54	LHR
261	80	PWR
467	6	ISB
786	11	LHR
926	76	Other
382	45	PWR
709	12	Other
103	58	Other
915	65	ISB
360	53	ISB
156	90	Other
738	38	Other
785	51	PWR
941	19	ISB
564	24	Other
737	58	PWR
596	88	Other
201	25	Other
598	39	ISB
308	86	Other
903	93	Other
267	62	ISB
700	29	PWR
8	75	LHR
924	38	Other
680	79	Other
474	8	Other
162	47	Other
758	96	ISB
317	40	PWR
101	40	ISB
872	95	PWR
986	74	ISB
639	98	ISB
53	74	PWR
909	76	PWR
623	12	Other
25	90	Other
438	51	ISB
862	48	ISB
409	5	ISB
144	30	Other
118	8	PWR
385	98	ISB
535	41	LHR
58	84	PWR
866	27	Other
292	58	PWR
873	8	ISB
437	68	PWR
138	93	ISB
266	41	PWR
258	92	ISB
794	12	Other
523	27	Other
95	43	ISB
456	13	ISB
570	76	Other
466	90	Other
738	21	ISB
52	24	ISB
484	62	ISB
302	7	ISB
94	81	PWR
231	62	PWR
675	8	Other
482	35	PWR
627	85	ISB
123	32	ISB
781	70	PWR
77	94	PWR
708	68	ISB
943	19	PWR
572	93	Other
327	72	ISB
404	66	Other
1000	11	PWR
309	6	PWR
796	2	ISB
836	53	ISB
353	37	LHR
606	66	PWR
59	40	ISB
